"","v_seq","v_spopSize","v_found_in_iteration","v_how_many_found","v_time","v_is_elitism"
"1",0,10,3,38,0.235,TRUE
"2",0,10,2,37,0.297,FALSE
"41",0.1,10,36,49,0.448999999999998,TRUE
"4",0,20,8,43,0.453,FALSE
"61",0.15,10,54,49,0.455999999999989,TRUE
"81",0.2,10,34,46,0.463999999999999,TRUE
"21",0.05,10,25,49,0.464000000000002,TRUE
"42",0.1,10,79,49,0.465000000000003,FALSE
"3",0,20,1,43,0.468,TRUE
"22",0.05,10,44,49,0.471999999999998,FALSE
"62",0.15,10,26,48,0.480999999999995,FALSE
"121",0.3,10,83,48,0.503999999999962,TRUE
"101",0.25,10,98,48,0.504000000000019,TRUE
"141",0.35,10,51,47,0.524999999999977,TRUE
"82",0.2,10,18,46,0.52800000000002,FALSE
"102",0.25,10,82,46,0.531000000000006,FALSE
"181",0.45,10,22,48,0.545000000000016,TRUE
"201",0.5,10,42,47,0.56899999999996,TRUE
"161",0.4,10,52,47,0.569000000000017,TRUE
"122",0.3,10,89,45,0.574999999999989,FALSE
"142",0.35,10,81,43,0.601999999999975,FALSE
"162",0.4,10,64,44,0.60899999999998,FALSE
"202",0.5,10,64,44,0.621999999999957,FALSE
"182",0.45,10,81,44,0.624000000000024,FALSE
"5",0,30,7,46,0.639,TRUE
"6",0,30,9,46,0.659,FALSE
"7",0,40,11,46,0.868,TRUE
"43",0.1,20,34,49,0.890000000000001,TRUE
"8",0,40,9,47,0.901999999999999,FALSE
"23",0.05,20,20,49,0.902000000000001,TRUE
"63",0.15,20,72,49,0.927999999999997,TRUE
"44",0.1,20,38,49,0.933999999999997,FALSE
"24",0.05,20,42,49,0.940999999999999,FALSE
"83",0.2,20,64,49,0.981000000000023,TRUE
"64",0.15,20,66,49,1.00299999999999,FALSE
"84",0.2,20,29,47,1.02700000000002,FALSE
"103",0.25,20,79,49,1.041,TRUE
"104",0.25,20,50,46,1.08199999999999,FALSE
"9",0,50,12,45,1.085,TRUE
"143",0.35,20,65,47,1.10499999999996,TRUE
"123",0.3,20,83,49,1.12,TRUE
"10",0,50,15,47,1.143,FALSE
"144",0.35,20,43,45,1.16399999999999,FALSE
"163",0.4,20,11,46,1.17699999999996,TRUE
"124",0.3,20,9,45,1.185,FALSE
"203",0.5,20,41,45,1.20299999999997,TRUE
"184",0.45,20,4,43,1.21699999999998,FALSE
"164",0.4,20,23,45,1.221,FALSE
"183",0.45,20,46,46,1.26499999999999,TRUE
"204",0.5,20,83,44,1.26999999999998,FALSE
"11",0,60,11,48,1.314,TRUE
"45",0.1,30,28,49,1.32899999999999,TRUE
"12",0,60,14,47,1.332,FALSE
"25",0.05,30,17,49,1.378,TRUE
"46",0.1,30,27,49,1.39100000000001,FALSE
"65",0.15,30,43,49,1.40799999999999,TRUE
"26",0.05,30,35,49,1.421,FALSE
"66",0.15,30,33,48,1.476,FALSE
"85",0.2,30,36,49,1.501,TRUE
"86",0.2,30,65,47,1.52600000000001,FALSE
"105",0.25,30,57,49,1.541,TRUE
"13",0,70,7,47,1.556,TRUE
"106",0.25,30,21,46,1.59900000000002,FALSE
"14",0,70,12,48,1.624,FALSE
"125",0.3,30,84,48,1.66800000000001,TRUE
"145",0.35,30,59,49,1.685,TRUE
"165",0.4,30,55,47,1.75200000000001,TRUE
"146",0.35,30,31,47,1.755,FALSE
"126",0.3,30,90,46,1.77300000000002,FALSE
"185",0.45,30,32,47,1.77699999999999,TRUE
"47",0.1,40,25,49,1.79599999999999,TRUE
"16",0,80,16,48,1.796,FALSE
"15",0,80,14,49,1.804,TRUE
"186",0.45,30,84,45,1.80500000000001,FALSE
"28",0.05,40,13,49,1.809,FALSE
"205",0.5,30,88,47,1.81799999999998,TRUE
"27",0.05,40,20,49,1.82,TRUE
"166",0.4,30,13,46,1.83099999999996,FALSE
"48",0.1,40,21,49,1.851,FALSE
"206",0.5,30,18,45,1.86500000000001,FALSE
"67",0.15,40,22,49,1.90199999999999,TRUE
"68",0.15,40,38,49,1.93600000000001,FALSE
"87",0.2,40,79,49,1.977,TRUE
"17",0,90,13,48,2.04,TRUE
"18",0,90,16,49,2.056,FALSE
"88",0.2,40,81,49,2.06399999999999,FALSE
"107",0.25,40,92,49,2.07899999999998,TRUE
"108",0.25,40,91,48,2.16200000000001,FALSE
"29",0.05,50,15,49,2.186,TRUE
"30",0.05,50,17,49,2.202,FALSE
"127",0.3,40,58,49,2.23000000000002,TRUE
"147",0.35,40,59,47,2.24299999999999,TRUE
"19",0,100,18,48,2.254,TRUE
"49",0.1,50,27,49,2.277,TRUE
"50",0.1,50,22,49,2.306,FALSE
"128",0.3,40,95,48,2.30899999999997,FALSE
"20",0,100,11,48,2.321,FALSE
"187",0.45,40,39,46,2.32999999999998,TRUE
"148",0.35,40,92,47,2.34000000000003,FALSE
"69",0.15,50,20,49,2.39699999999999,TRUE
"188",0.45,40,77,45,2.43200000000002,FALSE
"207",0.5,40,34,46,2.45100000000002,TRUE
"70",0.15,50,30,49,2.45999999999998,FALSE
"167",0.4,40,48,47,2.50099999999998,TRUE
"89",0.2,50,36,49,2.51299999999998,TRUE
"208",0.5,40,27,45,2.51800000000003,FALSE
"90",0.2,50,41,49,2.57300000000001,FALSE
